title,audio,lyrics
HANBA,,"KRVAVÝ MASAKER V HOTELI,
POLICAJTI K ZÁVERU NEDOSPELI
STÁLE SA PÁTRA PO MILANOVI H.
AKO JE MOŽNÉ ŽE IM ZDRHOL PREBOHA
PO DVOCH ROKOCH STÁLE NA SLOBODE
VIDELI HO VRAJ KRADNÚŤ V OBCHODE
TERAZ SI LEN POČKAŤ NA SPRÁVNU CHVÍĽU
DO HODINY HO UŽ V PUTÁCH MAJÚ
NEBOLA VÁM HANBA
NEBOLO VÁM DOSŤ
KEĎ STE ĽUĎOM NIČILI
ICH MINULOSŤ!
PO DESIATICH ROKOCH VO VÄZENÍ
SVOJE TRESTY SI UŽ ODSEDELI
TERAZ ZNOVU VONKU VYČÍŇAJÚ
A SPAŤ NIKOHO NENECHAJÚ
NIE JE VÁM HANBA
NIE JE VÁM DOSŤ
KEĎ ĽUĎOM NIČÍTE
ICH PRÍTOMNOSŤ!
NEBUDE VÁM HANBA
NEBUDE VÁM DOSŤ
KEĎ ĽUĎOM UKRADNETE
AJ BUDÚCNOSŤ!"
GRASS,,"GANJAMAN ZHULENÝ ,ZÁHRADNÍK ŠIKOVNÝ
POVEDZ NÁM GANJAMAN, AKO SADÍŠ GRASS
CEZ, CEZ, CEZ TAK SI JA SADÍM GRASS
CEZ, CEZ, CEZ TAK SI JA SADÍM GRASS
CEZ LÚKY A POLIA, CEZ VŠETKY POHORIA
POĎTE VŠETKY DETI SO MNOU SADIŤ GRASS
CEZ, CEZ, CEZ TAK SI JA SADÍM GRASS
CEZ, CEZ, CEZ TAK SI JA SADÍM GRASS
GANJAMAN ZHULENÝ ,ZÁHRADNÍK ŠIKOVNÝ
POVEDZ NÁM GANJAMAN ,AKO FAJČÍŠ GRASS
CEZ BONGO AJ CEZ DÝMKU STAČÍ NÁJSŤ AJ PLECHOVKU
POĎTE VŠETKY DETI SO MNOU FAJČIŤ GRASS"
HEBOJ POGOVAŤ,,"JE TU SUPER ZÁBAVA, SPOLOČNE SA BAVÍME
KRÁSNA HUDBA S NAMI MÁVA, POGO SI TU TANČÍME
NÁLADU NÁM PIVO DVÍHA, ÚSMEV MÁME NA PERÁCH
NO NIEKOMU SA TU ZÍVA, NIEKTO TU MÁ S PIVA STRACH
VŠAK SA NEBOJ NIČOHO, A ZABUDNI NA STAROSTI
NO TAK HYBAJ DO TOHO, UŽÍVAJ SI MLADOSTI
RÝCHLO DOPI TÚ KOLU, A PIVO SI OBJEDNAJ
DÁ SA ZABAVIŤ BEZ ALKOHOLU, NO JEDNO SI RADŠEJ DAJ
TAK SA POZRI OKOLO
AKO NÁM JE VESELO
VYMEŇ KOLU ZA PIVO
A NESEĎ TAM TAK SÁM
TAK SA POSTAV OD STOLA
POĎ TANCOVAŤ DO KOLA
NAŠA HUDBA ŤA VOLÁ
TAK SA PRIDAJ K NÁM
NO TAK VIDÍŠ ŽE TO IDE
ŽE AJ TY VIEŠ TANCOVAŤ
NA SVOJE SI KAŽDÝ PRÍDE
UKÁŽTE ŽE VIETE POGOVAŤ
UŽ TO FRČÍ V PLNOM PRÚDE
BAVÍME SA DO RÁNA
MY NEDÁME ŠANCU NUDE
NANANANANANANA"
KORUNY NA PÁĽENKU,,"AJ TY SA ŽENIEŠ ZA NEJAKÝM SNOM
A ROBÍŠ VŠETKO PRETO ABY SI HO DOSIAHOL
PENIAZE A SLÁVA TO NEPRÍDE SAMO
OSTATNÉ PRIORITY DÁVAŠ NA DRUHÉ MIESTO
AKO URÝCHLIŤ SVOJ POSTUP NA TO NEVIEŠ PRÍSŤ
V PRÁCI SA TI NEDARÍ A BUDÚCNOSŤ NEVIDÍŠ
A TAK HĽADÁŠ INEJ CESTY KADIAĽ MÔŽEŠ ÍSŤ
NIKOMU NEVERÍŠ AJ SÁM SI VYSTAČÍŠ
KLESNÚŤ NIŽŠIE UŽ NEMÔŽEŠ NO STÁLE PADÁŠ
VSTAŤ TI NIK NEPOMÔŽE SVOJ CIEĽ MÁRNE HĽADÁŠ
VŠETCI ČO ZA TEBOU KEDYSI STÁLY
VYKAŠĽALI SA NA TEBA HNEĎ TO VZDALI
VŠETCI CHCÚ JEDINÉ
A TO SÚ LEN A LEN PENIAZE
NEVIDIA NIČ INÉ
A NIK IM TO NEZAKÁŽE
PO PÁR ROKOCH SI SVOJ CIEĽ DOSIAHOL
VŠETKO TO BOLO NEPRÁVOM A PODVODOM
ZA SEBOU SI ZANECHAL VEĽA ŽIVOTOV
A TO LEN PRE PÁR VYPOČÍTAVÝCH IDIOTOV
OUTRO : VŠETCI CHCÚ JEDINÉ
A TO JE PIŤ PÁĽENKU"
PÁĽENKA,,"PÁĽENKA, TY SI MOJA
LÁSKA, JEDINÁ
TAK STÝM NIEČO UROB
ALEBO VYPI MA!
PÁLENKA, JÉÉ
PÁLENKA, VÓÓÓÓ
LEN ONA MA VŽDY ZOHREJE
TO UŽ KAŽDÝ Z NÁS VIE
ŽE ONA JE JEDINÉ
ČO MA K ŽIVOTU PREBERIE
PRED NAMI TU HRALI
PRESNE TAKÝ AKO MY
DALI TAM TRI AKORDY
A NIKOMU TO NEVADÍ
PÁLENKA, JÉÉ
PÁLENKA, VÓÓÓÓ
PÁLENKA, JÉÉ
PÁLENKOVÉ SÓLO
LEN ONA MA VŽDY ZOHREJE
TO UŽ KAŽDÝ Z NÁS VIE
ŽE TO JE JEDINÉ
ČO MA NAKONIEC ZABIJE"
OiOiOi,,"NEOSTAL TU NIK, ABSOLÚTNE NIK
ČO BY CHCEL SA ZA PRAVDU POSTAVIŤ
KRIČAŤ PROTI DAVU SVOJE PRESVEDČENIE
A DAŤ NAHLAS SVOJE NIE !!
MY SA PROSTE NEDÁME OI OI OI OI
TENTO BOJ PROTI VÁM VYHRÁME !!!
TOTO BUDE ZAČIATOK ÚPLNE NOVEJ
GENERÁCIE NEOPUNKOVEJ
UŽ MÁME DOSŤ VAŠICH REČÍ
ŽE SME S VAMI V BEZPEČÍ
A STAČÍ SA LEN POZRIEŤ DO MINULOSTI
AKÉ STE PÁCHALI NEPRÁVOSTI
NEOSTAL TU NIK, ABSOLÚTNE NIK
ČO BY CHCEL SA ZA PRAVDU POSTAVIŤ
KRIČAŤ PROTI DAVU SVOJE PRESVEDČENIE
A DAŤ NAHLAS SVOJE NIE !!"
PIVNÉ REGE,,"MÁM ZAUJÍMAVÉ REGE V MOJEJ HLAVE
ZNIE AKO VYCHLADENÉ PIVO NA PRAVÉ POLUDNIE
UŽ NA NIČ NEČAKÁM LEN SA SLNEČNÝMI LÚČAMI
NECHÁM HRIAŤ A UNÁŠAM SA VLNAMI
TVÁROU K TRÁVE SLEDUJEM CELÝ SVET
UŽ MA NIČ NETRÁPI A ZAJTRAJŠOK JE ČO NEVIDIEŤ
ODTIAĽTO SA NECHYSTÁM, VEĎ PREČO BY SOM AJ MAL?
KEĎ VŠETKO TU MÁM JE TO TU PRE MŇA RAJ!
MÁM ZAUJÍMAVÉ REGE V MOJEJ HLAVE
ZNIE AKO VYCHLADENÉ PIVO NA PRAVÉ POLUDNIE
ODTIAĽTO SA NECHYSTÁM, VEĎ PREČO BY SOM AJ MAL
KEĎ VŠETKO TU MÁM JE TO TU PRE MŇA RAJ!
LEN HORÚCE SLNKO BEER A TY
NA TRÁVE LEŽAŤ TENTO POCIT JE FAKT SKVELÝ
VŠETKO ZLÉ JE UŽ DÁVNO MINULOSŤOU
A TO DOBRÉ SA STÁVA PRÍTOMNOSŤOU
RUKY MÁM ZA HLAVOU
A TÚ MÁM OPOJENÚ
PIVNOU NÁLADOU"
ZIMNÁ,,"PRICHÁDZA ZIMA, VŠADE JE LÍSTIE
SLNKO SA SKRÝVA POČASIE JE HMLISTÉ
A PRVÝ SNEH PRIŠIEL DOSŤ SKORO
VRAVÍM SI NECH, NECH UŽ JE PREČ
PLÁNY SA MENIA PODĽA POČASIA
DNES OSTÁVAM DOMA A JE TU DOSŤ NUDA
NEVIEM ČO STÝM UROBÍM NO ASI SI TO PIVO
ČO MÁM V CHLADNIČKE ODLOŽENÉ OTVORÍM
MÁM ZLÝ POCIT
ŽE TIETO SKVELÉ DNI
OSTANÚ LEN OBYČAJNÉ DNI
BEZ KTORÝCH BY NEBOL PROBLÉM ŽIŤ
DNES ZNOVA DOMA SA PROSTE NEDÁ
ISŤ VON DO TÝCH DEBILNÝCH ZÁVEJOV
ĎALŠÍ NUDNÝ VEČER MÁM ZA SEBOU
DÚFAM ŽE VEČER PÔJDEM KONEČNE
S MOJOU OBĽÚBENOU PARTIOU"
ROCK´N´ROLL,,"UŽ SA TEŠÍM V PIATOK VON
TO BUDE ZAS ROCK´N ´ROLL
VEČER SAMÁ ŽRANICA
RÁNO MA ČAKÁ OPICA
KEĎ SA RÁNO ZOBUDÍM
V SKÚŠOBNI SA ZATVORÍM
VYPEČIEM TAM ROCK´N ´ROLL
VYPEČIEM TAM ROCK´N ´ROLL
PIVO SI TAM OTVORÍM
S KÁMOŠMI SA PODELÍM
MÔJ ŽIVOT JE ROCK´N ´ROLL
MÔJ ŽIVOT JE ROCK´N ´ROLL
SVOJ ŽIVOT SI UŽÍVAM
KAŽDÝ PIATOK POPÍJAM
VEĎ O TOM TO CELÉ JE
KTO CHCE TEN SI UŽIJE"
PUNKOVÝ VÝLET,,"DNES SA VŠETCI CHYSTÁME NIEKAM NA VÝLET
NIEKAM KAM BUDÚ NAŠE NOHY CHCIEŤ
NA VÝLET PLNÝ SPLNENÝCH SNOV
S KÝM INÝM AKO S CELOU PARTIOU
TAK POĎ AJ TY SNAMI VON, VON!
NECHAJ SA UNÁŠAŤ PUNKOVÝM VÝLETOM!
PIVO, ŽENY A PUNK ROCK
POSNAŽ SA UDRŽAŤ SNAMI SVOJ KROK!
DNEŠNÝ VÝLET SA ZĎALEKA NEKONČÍ
POKÝM SME STÁLE NIEKDE NA PLÁŽI
NA PLÁŽI PLNEJ ŽIEN
TERAZ LEN ROZMÝŠĽAM KTORÚ SI Z NICH VYBERIEM"
